country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,BOM,Tas,10.0,-40.96,145.61,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2018,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,31.57073792610084,9.671413234971515,114,,
2018,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,27.67076355350304,9.997675083026705,109,,
2018,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,21.698450103125708,9.914950202536945,102,,
2018,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,20.99678234309306,9.73999181322639,94,,
2018,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,18.91594259672479,8.819560384655782,84,,
2018,1,1,5,0,13.8,-107,88.2,11.8,29,67.0,0,38.572987255957614,0,1001.7,13.619501599827233,8.90619584451908,73,,
2018,1,1,6,0,14.2,-98,82.3,12.5,78,200.0,0,161.09413277895052,0,1002.3,13.245354224623952,8.781206483834934,62,,
2018,1,1,7,0,14.8,-88,90.4,13.2,52,419.0,0,355.51697971528307,0,1003,7.407682168258532,8.286444780077701,51,,
2018,1,1,8,0,15.4,-76,88.5,13.9,95,364.0,0,485.7412940673328,0,1003.7,2.8336639513229898,8.044748717924472,40,,
2018,1,1,9,0,15.9,-60,80.8,13.5,179,495.0,0,676.3971637036616,0,1004,358.5651693768004,9.077309058021568,30,,
2018,1,1,10,0,16.4,-33,59.9,12.3,405,619.0,7,814.4559909071585,0,1004.1,3.68895637839222,9.452201788722451,21,,
2018,1,1,11,0,16.9,6,25.9,10.9,426,426.0,353,786.1670773591969,0,1004.2,3.3971142815130406,10.26315145724818,19,,
2018,1,1,12,0,17.1,42,5.9,9.7,228,491.0,734,848.7880721012305,0,1004.4,358.53798728388284,10.458726992676985,23,,
2018,1,1,13,0,17.2,65,7.9,8.6,236,413.0,628,783.7786723835369,0,1004.7,3.1954766398266656,10.910029669060474,32,,
2018,1,1,14,0,17.2,80,4.1,7.6,155,565.0000000000001,606,810.402901628401,0,1005,7.234615844188227,11.461363406806507,43,,
2018,1,1,15,0,16.9,91,0,7,74,650.0,544,752.8793429590887,0,1005.3,12.014382064062772,11.328717649018625,54,,
2018,1,1,16,0,16.3,100,0.2,6.8,65,611.0,349,596.668411559057,0,1005.7,11.860841051217392,11.473228500064783,66,,
2018,1,1,17,0,15.6,109,12.4,6.7,75,498.0,117,393.4950359457275,0,1006.1,9.499273581103353,11.637853289895034,77,,
2018,1,1,18,0,14.7,118,6.9,6.7,30,264.0,10,169.57766519131184,0,1006.5,13.877132229534196,10.448020258827636,87,,
2018,1,1,19,0,13.5,129,0.6,6.8,0,71.0,0,22.9502157525782,0,1006.9,17.260723400833626,8.943805004513207,96,,
2018,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,33.777052624598696,8.340420008456036,104,,
2018,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,35.274302961185526,6.661860420811629,111,,
2018,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,28.68189709995471,5.719633612611031,115,,
2018,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,22.745203994124324,5.262520103914547,116,,
2018,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,17.763893519680778,5.79432933363511,114,,
2018,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,18.547224382761613,6.540121569261857,109,,
2018,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,18.20649013836908,6.312098443129081,102,,
2018,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,18.31560734408561,6.004634785675138,94,,
2018,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,18.39509627074256,5.438794634150825,84,,
2018,1,2,5,0,14.1,-107,62.1,10.9,84,29.0,0,27.619597861764067,0,1007.1,16.065738703530997,5.524348225706171,74,,
2018,1,2,6,0,15.5,-98,66.4,11.7,147,178.0,0,146.3836802465665,0,1007,14.514558046376749,5.4190481385487885,62,,
2018,1,2,7,0,17.1,-88,49.3,12.4,326,530.0,3,368.0828270098113,0,1006.8,17.06439778508286,5.500199975366358,51,,
2018,1,2,8,0,18.7,-76,27.8,13.1,431,454.0,148,496.2272818589384,0,1006.5,12.56195266711967,4.989560249317689,40,,
2018,1,2,9,0,19.5,-60,23.1,13.4,492,279.0,211,540.3330922548074,0,1006.1,0.8758689012191212,7.075289573067859,30,,
