country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,BOM,Tas,10.0,-41.09,145.34,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2018,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,32.79316566562517,7.470611603618831,114,,
2018,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,26.80668104044372,7.508036222111641,109,,
2018,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,27.9569542076473,8.005258117418393,102,,
2018,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,26.05233806417357,8.687384570336034,94,,
2018,1,1,4,0,13.6,-116,86.8,11.1,6,0.0,0,0.0,0,1001.2,21.12016473486165,8.529758455729416,84,,
2018,1,1,5,0,13.8,-107,88.2,11.8,29,42.0,0,33.91314161533467,0,1001.7,17.87606654387605,8.817275748520203,73,,
2018,1,1,6,0,14.2,-98,82.3,12.5,78,107.0,0,135.65394825038257,0,1002.3,15.904988597698376,8.606835328214908,62,,
2018,1,1,7,0,14.8,-88,90.4,13.2,52,244.0,0,302.0502589130097,0,1003,12.21368780881545,7.771110976290111,51,,
2018,1,1,8,0,15.4,-76,88.5,13.9,95,318.0,0,467.5862729580448,0,1003.7,4.870751186703842,8.416134780107564,40,,
2018,1,1,9,0,15.9,-60,80.8,13.5,179,487.0,0,674.457864337282,0,1004,0.4116837076082902,8.698466727096493,30,,
2018,1,1,10,0,16.4,-33,59.9,12.3,405,543.0,7,780.513325952176,0,1004.1,10.065599774916564,11.039546378208748,21,,
2018,1,1,11,0,16.9,6,25.9,10.9,426,435.0,353,794.5851737349487,0,1004.2,7.553416357726974,10.874389176369611,19,,
2018,1,1,12,0,17.1,42,5.9,9.7,228,422.0,734,812.909891053619,0,1004.4,7.753931412869861,10.654547244870583,23,,
2018,1,1,13,0,17.2,65,7.9,8.6,236,478.0,628,827.9035381874312,0,1004.7,11.636129568411093,10.49573492097672,32,,
2018,1,1,14,0,17.2,80,4.1,7.6,155,577.0,606,822.5072889897787,0,1005,12.246133437989611,11.158946403321035,43,,
2018,1,1,15,0,16.9,91,0,7,74,631.0,544,748.9317287907002,0,1005.3,11.361177429170311,11.242017207867333,54,,
2018,1,1,16,0,16.3,100,0.2,6.8,65,569.0000000000001,349,581.5047852423154,0,1005.7,9.756768189652291,11.754241304702637,66,,
2018,1,1,17,0,15.6,109,12.4,6.7,75,460.0,117,383.1076088571471,0,1006.1,14.749173285861673,10.279131039066884,77,,
2018,1,1,18,0,14.7,118,6.9,6.7,30,246.0,10,166.74285771918986,0,1006.5,23.66431406966052,9.078844642676328,87,,
2018,1,1,19,0,13.5,129,0.6,6.8,0,63.0,0,23.085822553382865,0,1006.9,28.06407263981504,8.409969644916968,96,,
2018,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,31.01760074275313,6.950385181813137,104,,
2018,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,30.414316547249086,5.593179412595877,111,,
2018,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,25.730921609170707,4.919980105198977,115,,
2018,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,25.27279518150556,5.277065018437477,116,,
2018,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,22.85297291313168,5.479161933950065,114,,
2018,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,21.097018356802096,5.738129428753371,109,,
2018,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,19.949689520256584,5.40022546884699,102,,
2018,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,14.31241989336644,4.815477614279344,94,,
2018,1,2,4,0,12.9,-116,34.1,10,36,0.0,0,0.0,0,1006.8,15.258447337197596,4.791464752282975,84,,
2018,1,2,5,0,14.1,-107,62.1,10.9,84,17.0,0,22.333894762711235,0,1007.1,16.906758672852675,5.41060816120296,74,,
2018,1,2,6,0,15.5,-98,66.4,11.7,147,92.0,0,119.5465510460861,0,1007,16.02194055910826,5.572665371680806,62,,
2018,1,2,7,0,17.1,-88,49.3,12.4,326,272.0,3,293.9011012709798,0,1006.8,15.02866952100021,5.7536825847467785,51,,
2018,1,2,8,0,18.7,-76,27.8,13.1,431,413.0,148,481.6226456462441,0,1006.5,6.275541382120821,7.359284523895745,40,,
