country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-41.06,145.76,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,234.90492034738168,7.872008014145896,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,230.38090288408276,9.957508920932291,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,229.3442855944228,10.56457429737673,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,238.67152632117475,9.788978960161186,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,2.0,0,1.2246467991473532e-16,0,1001.2,274.44441674012523,12.570432054548451,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,172.0,0,43.42669496688394,0,1001.7,290.9999201974218,12.178591219793216,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,337.0,0,174.62153936812496,0,1002.3,309.4503499530469,11.2687711416446,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,633.0,0,388.14785591086826,0,1003,344.8508465031287,15.550389058180842,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,586.0,0,533.391369034445,0,1003.7,2.6691894844620947,18.07548636570637,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,597.0,0,676.5251921587824,0,1004,12.350883476238948,18.389724689632345,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,504.0,7,752.8141435082972,0,1004.1,30.20799686842281,18.90653343774324,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,584.0,353,863.6875341651378,0,1004.2,31.65874626576766,19.5822866093472,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,608.0,734,905.4185744417026,0,1004.4,27.096092549331445,17.966650496171905,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,726.0,628,953.7125544014024,0,1004.7,23.70922497545888,18.52501385059445,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,634.0,606,840.8422160027137,0,1005,25.759269549078223,19.875341640538068,43,,
2015,1,1,15,0,16.9,91,0,7,74,561.0,544,699.7313583123075,0,1005.3,24.73956573365723,20.414210226152367,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,437.0,349,507.6638446366698,0,1005.7,25.120006796057453,20.268764055489424,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,439.0,117,366.6074586773312,0,1006.1,26.758192710515857,20.289791663206756,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,281.0,10,172.73313027715182,0,1006.5,27.93589752198648,20.931104481816792,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,94.0,0,27.110962466728573,0,1006.9,30.161554782928533,21.78602687917108,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,30.459800160108728,22.05066611894165,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,30.26641972319146,22.335047589935364,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,31.03075066649393,21.565650641765583,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,31.44958375243192,20.61788914922398,116,,
2015,1,2,0,0,10.9,-163,49.4,7.9,0,0.0,0,0.0,0,1006.8,31.591733374243745,19.69698055619712,114,,
2015,1,2,1,0,11,-149,41.5,8.2,0,0.0,0,0.0,0,1006.7,34.87960867240918,20.511192960294505,109,,
2015,1,2,2,0,11.1,-136,13.7,8.5,0,0.0,0,0.0,0,1006.6,38.36126111068154,20.2848090778185,102,,
2015,1,2,3,0,11.8,-126,0.7,9.1,1,0.0,0,0.0,0,1006.6,40.21310487865617,19.49888747040214,94,,
2015,1,2,4,0,12.9,-116,34.1,10,36,1.0,0,6.123233995736766e-17,0,1006.8,44.61246578498896,20.01760812282533,84,,
2015,1,2,5,0,14.1,-107,62.1,10.9,84,109.0,0,39.57345160756338,0,1007.1,47.67318913623228,19.14328398669609,74,,
2015,1,2,6,0,15.5,-98,66.4,11.7,147,261.0,0,162.99532798297173,0,1007,53.78006117391232,17.58424775858223,62,,
2015,1,2,7,0,17.1,-88,49.3,12.4,326,617.0,3,387.7488678143632,0,1006.8,57.53245814085443,15.22084657296887,51,,
2015,1,2,8,0,18.7,-76,27.8,13.1,431,738.0,148,592.5512595190546,0,1006.5,63.03257786355243,14.777746801979,40,,
2015,1,2,9,0,19.5,-60,23.1,13.4,492,730.0,211,740.7509998692026,0,1006.1,64.11945539645183,13.56456221732096,30,,
2015,1,2,10,0,19.8,-33,47.7,13.3,440,839.0,72,900.0691562900294,0,1005.5,68.53614842151143,10.290101736069644,22,,
2015,1,2,11,0,19.9,6,51.5,13.2,487,910.0,0,1020.048624227698,0,1005,69.6369709973875,8.848876702626951,19,,
