country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-41.17,145.78,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,274.2392737178724,12.15471451602755,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,259.5683943845485,16.457530210709944,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,257.4299813973017,16.098421156625818,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,263.5279031590662,15.167372542769208,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,2.0,0,1.2246467991473532e-16,0,1001.2,283.9240985340023,19.33135019620924,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,130.0,0,41.46002290919952,0,1001.7,295.004688311412,15.76091097815317,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,255.0,0,160.5802193050038,0,1002.3,312.35049551420946,14.472770747368164,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,548.0,0,368.23442494901633,0,1003,345.46703629265625,16.263509911264677,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,459.0,0,489.5562465121838,0,1003.7,4.909619775530359,19.815838865055845,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,446.0,0,612.3337006002329,0,1004,16.850302425242432,19.50985904240686,30,,
