country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,BOM,Tas,10.0,-41.13,146.19,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2018,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,20.03321116633117,7.036334670359268,114,,
2018,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,16.46901785263168,7.111590197521346,109,,
2018,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,14.130466420992548,7.057287001285677,102,,
2018,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,10.547942323289137,7.704655562926248,94,,
2018,1,1,4,0,13.6,-116,86.8,11.1,6,2.0,0,1.0000000000000002,0,1001.2,12.119032264904943,7.405271570144332,84,,
2018,1,1,5,0,13.8,-107,88.2,11.8,29,154.0,0,48.7538035464469,0,1001.7,5.118913812623077,6.892724861189388,73,,
2018,1,1,6,0,14.2,-98,82.3,12.5,78,324.0,0,185.91645942927929,0,1002.3,355.6349334480675,7.239750033227213,62,,
2018,1,1,7,0,14.8,-88,90.4,13.2,52,573.0000000000001,0,392.6860569703978,0,1003,351.825100329317,7.727940609093864,51,,
2018,1,1,8,0,15.4,-76,88.5,13.9,95,639.0,0,577.7783245110252,0,1003.7,356.7430150887227,9.101370895399068,40,,
2018,1,1,9,0,15.9,-60,80.8,13.5,179,610.0,0,713.2105650660269,0,1004,351.5230419440784,9.165314536001604,30,,
2018,1,1,10,0,16.4,-33,59.9,12.3,405,778.0,7,888.2374109228105,0,1004.1,0.8420504335647934,9.984232517951057,21,,
2018,1,1,11,0,16.9,6,25.9,10.9,426,526.0,353,837.8827618589395,0,1004.2,356.42322860425816,9.9830690404386,19,,
2018,1,1,12,0,17.1,42,5.9,9.7,228,414.0,734,797.6136769842749,0,1004.4,347.92478267737755,9.549926501136076,23,,
2018,1,1,13,0,17.2,65,7.9,8.6,236,325.0,628,718.2508470716888,0,1004.7,342.5694397837446,9.790899949120035,32,,
2018,1,1,14,0,17.2,80,4.1,7.6,155,457.0,606,740.8571751663478,0,1005,352.0042302308424,10.14649229664351,43,,
2018,1,1,15,0,16.9,91,0,7,74,568.0000000000001,544,702.2017973692281,0,1005.3,357.01844000297393,10.312054855680572,54,,
2018,1,1,16,0,16.3,100,0.2,6.8,65,564.0,349,566.4392734032491,0,1005.7,0.1233816984113218,11.110621464225488,66,,
2018,1,1,17,0,15.6,109,12.4,6.7,75,560.0,117,410.76115101716977,0,1006.1,4.259977124861621,11.808992301532196,77,,
2018,1,1,18,0,14.7,118,6.9,6.7,30,390.0,10,201.5024519075968,0,1006.5,1.6180717097860224,10.384023353231711,87,,
2018,1,1,19,0,13.5,129,0.6,6.8,0,120.0,0,29.138275312793184,0,1006.9,4.830222170358013,8.933092327582616,96,,
2018,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,13.136288305189396,7.815099489709984,104,,
2018,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,25.99993952126385,8.19185352696033,111,,
