country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-41.3,145.51,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,13,-163,48.4,9.3,0,0.0,0,0.0,0,1001.6,278.70975176704763,15.026788085443258,114,,
2015,1,1,1,0,13.1,-149,69.2,9.6,0,0.0,0,0.0,0,1001.2,267.79693465670545,20.980310402277837,109,,
2015,1,1,2,0,13.2,-136,80.9,10,0,0.0,0,0.0,0,1000.7,272.14646317003104,20.44604184771952,102,,
2015,1,1,3,0,13.4,-125,79.4,10.5,0,0.0,0,0.0,0,1000.8,272.59240173190153,22.327642807093948,94,,
2015,1,1,4,0,13.6,-116,86.8,11.1,6,1.0,0,6.123233995736766e-17,0,1001.2,286.7454902868917,22.64184501073883,84,,
2015,1,1,5,0,13.8,-107,88.2,11.8,29,71.0,0,35.7909407114649,0,1001.7,295.6568994708228,19.06317136383635,73,,
2015,1,1,6,0,14.2,-98,82.3,12.5,78,131.0,0,131.72726602474532,0,1002.3,310.2328018373502,17.48131920216373,62,,
2015,1,1,7,0,14.8,-88,90.4,13.2,52,356.0,0,316.8270649383928,0,1003,351.9923768098074,17.84792038341535,51,,
2015,1,1,8,0,15.4,-76,88.5,13.9,95,244.0,0,400.6874107138256,0,1003.7,3.21657999550564,20.154848880753136,40,,
2015,1,1,9,0,15.9,-60,80.8,13.5,179,206.0,0,485.2664490867095,0,1004,19.58345790428297,18.45429674624833,30,,
2015,1,1,10,0,16.4,-33,59.9,12.3,405,170.0,7,556.8634540429679,0,1004.1,26.96390434038119,18.06544988897604,21,,
2015,1,1,11,0,16.9,6,25.9,10.9,426,302.0,353,716.8359143923002,0,1004.2,31.286069213167195,18.816263128733635,19,,
2015,1,1,12,0,17.1,42,5.9,9.7,228,422.0,734,816.4777895540806,0,1004.4,25.63491329613981,18.45526722208227,23,,
2015,1,1,13,0,17.2,65,7.9,8.6,236,513.0,628,850.0484864670748,0,1004.7,23.423986318307755,19.623067890045714,32,,
2015,1,1,14,0,17.2,80,4.1,7.6,155,452.0,606,752.6163303551211,0,1005,24.32041814951737,20.316668934580708,43,,
2015,1,1,15,0,16.9,91,0,7,74,324.0,544,578.0331047438292,0,1005.3,23.204201574694025,20.918792838911227,54,,
2015,1,1,16,0,16.3,100,0.2,6.8,65,255.0,349,419.7748089967536,0,1005.7,24.29306218145996,21.48228855017432,66,,
2015,1,1,17,0,15.6,109,12.4,6.7,75,253.0,117,294.12206524682625,0,1006.1,27.26945418602588,21.953583684855783,77,,
2015,1,1,18,0,14.7,118,6.9,6.7,30,204.0,10,153.86971981718327,0,1006.5,27.79916829159066,21.818975902663745,87,,
2015,1,1,19,0,13.5,129,0.6,6.8,0,65.0,0,23.33230994593265,0,1006.9,31.279852653101383,22.953718085941578,96,,
2015,1,1,20,0,12.3,140,32.9,6.8,0,0.0,0,0.0,0,1007.3,34.04107955962161,23.52322243561293,104,,
2015,1,1,21,0,11.6,153,18.4,7,0,0.0,0,0.0,0,1007.4,34.54542980609199,22.208950457394277,111,,
2015,1,1,22,0,11.3,167,0.6,7.3,0,0.0,0,0.0,0,1007.2,35.48749851888124,21.744265279422404,115,,
2015,1,1,23,0,11,-178,33.5,7.6,0,0.0,0,0.0,0,1007,38.07263906792093,20.267401875605632,116,,
