country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,7,-33.075432,115.631104,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,17.4,-161,0,11.6,0,0,0,0,0,996.3,113.085144042969,4.49038353178398,121,,
2015,1,1,1,0,16.7,-147,0,11.6,0,0,0,0,0,996.1,86.67919921875,3.46323134191205,115,,
2015,1,1,2,0,16.2,-135,0,11.6,0,0,0,0,0,996.2,56.0657958984375,3.39094613331741,108,,
2015,1,1,3,0,15.7,-125,0,11.5,0,6,1,1,0,996.2,38.134521484375,4.01954524242283,98,,
2015,1,1,4,0,16.3,-116,0,11.6,19,315,39,58,0,996.3,30.276611328125,5.15591681958631,87,,
2015,1,1,5,0,17.7,-108,0,11.8,45,673,182,228,0,996.5,26.0333862304687,6.19918353676519,75,,
2015,1,1,6,0,19.2,-101,0,12,62,861,391,453,0,996.6,24.088134765625,6.91272303939496,63,,
2015,1,1,7,0,20.7,-94,0,11.8,72,953,599,671,0,996.4,24.9805297851562,7.25537633237838,51,,
2015,1,1,8,0,22,-86,0,11.3,79,1004,782,861,0,996,27.7998046875,7.21472434337159,39,,
2015,1,1,9,0,23.4,-73,0.1,10.8,86,1028,917,1003,0,995.6,31.2175903320312,7.10052961061116,26,,
2015,1,1,10,0,24.5,-46,4.4,10.4,191,886,848,1039,0,995,40.8440856933594,6.60799175562056,15,,
2015,1,1,11,0,25.6,13,6.5,10,243,810,791,1035,0,994.5,42.1868286132812,6.34123121759617,12,,
2015,1,1,12,0,26.6,58,5.2,9.6,210,844,795,1006,0,993.9,45.6649169921875,6.39075412491877,19,,
2015,1,1,13,0,26.8,78,1.7,9.6,125,949,812,937,0,993.5,50.1561889648437,6.09095631619938,30,,
2015,1,1,14,0,26.5,89,0.1,9.8,84,968,709,793,0,993.3,53.2198486328125,5.79173290531362,43,,
2015,1,1,15,0,26,97,3.3,10.1,111,799,463,574,0,993,53.5701293945313,5.66274593267425,55,,
2015,1,1,16,0,24.7,104,2.8,10.7,82,720,274,357,0,993.1,53.0600891113281,5.14803266339662,68,,
2015,1,1,17,0,22.7,111,48.4,11.6,32,261,82,114,0,993.5,52.3082885742187,4.16140011627906,80,,
2015,1,1,18,0,20.6,119,27.1,12.6,7,0,0,7,0,993.8,48.2048645019531,3.1944202421079,91,,
2015,1,1,19,0,19.3,128,0,12.9,0,0,0,0,0,994.1,39.70703125,2.72176171412792,101,,
2015,1,1,20,0,18.6,139,0,12.9,0,0,0,0,0,994.3,30.4333190917969,2.45805917721799,111,,
2015,1,1,21,0,17.9,152,0,12.8,0,0,0,0,0,994.4,23.0942993164062,2.44155267468346,118,,
2015,1,1,22,0,17.3,167,0,12.8,0,0,0,0,0,994.4,20.2702941894531,2.79487831416039,122,,
2015,1,1,23,0,16.8,-177,0,12.8,0,0,0,0,0,994.1,16.1186218261719,3.57150101196696,123,,
2015,1,2,0,0,16.4,-161,1.3,12.9,0,0,0,0,0,993.8,14.2411193847656,5.34544396138567,121,,
2015,1,2,1,0,16.1,-147,45.5,12.9,0,0,0,0,0,993.7,16.4558410644531,6.97360339727632,116,,
2015,1,2,2,0,16.1,-135,70.1,12.9,0,0,0,0,0,993.9,15.547119140625,7.13488003537683,108,,
2015,1,2,3,0,16,-125,53.2,12.9,0,0,0,0,0,994,14.2304992675781,7.62085321869875,98,,
2015,1,2,4,0,16.5,-116,48,13.1,25,0,0,25,0,994.4,14.4947509765625,8.04030525039835,87,,
2015,1,2,5,0,17.4,-108,63.2,13.5,67,0,0,67,0,994.8,18.8752136230469,8.5953170839489,76,,
2015,1,2,6,0,18.3,-101,70.4,14,125,0,0,125,0,995.3,25.1481018066406,9.66754220862031,63,,
2015,1,2,7,0,19.4,-94,65.3,14.1,223,0,0,223,0,995.5,34.2641296386719,10.0242149927605,51,,
2015,1,2,8,0,20.4,-86,62,14,310,0,0,310,0,995.4,41.8662414550781,9.47340965321016,39,,
2015,1,2,9,0,21.5,-73,60.4,13.9,379,0,0,379,0,995.3,49.7267456054688,9.12281159775557,26,,
2015,1,2,10,0,22.3,-46,59.3,13.8,423,2,2,425,0,995.1,59.4538879394531,7.85494098059777,16,,
2015,1,2,11,0,22.7,12,39.7,13.7,537,111,108,645,0,994.8,63.7368469238281,7.60950998206385,12,,
2015,1,2,12,0,23.2,57,16,13.7,400,498,463,863,0,994.5,71.1923522949219,7.73053992869616,19,,
2015,1,2,13,0,23.3,78,5.7,13.3,218,770,658,877,0,994.4,77.8761901855469,7.88304546100868,30,,
2015,1,2,14,0,23.1,89,4.8,12.7,172,775,569,742,0,994.5,84.0287475585938,8.1787087053616,43,,
2015,1,2,15,0,22.8,97,5.2,12.1,146,716,408,554,0,994.6,91.2152099609375,8.47849920183385,55,,
2015,1,2,16,0,21.8,104,2.1,11.6,87,703,268,355,0,995.1,98.8858947753906,8.47446781048224,68,,
2015,1,2,17,0,20.2,111,13.2,11.2,57,285,83,141,0,995.8,105.684661865234,8.27198208341749,80,,
2015,1,2,18,0,18.6,119,7.4,10.8,20,17,2,22,0,996.6,111.982696533203,7.99125268214629,91,,
2015,1,2,19,0,17.6,128,0,10.5,0,0,0,0,0,997.3,118.123657226563,7.66746220063035,101,,
2015,1,2,20,0,17,139,0,10.3,0,0,0,0,0,997.9,123.839965820313,7.43602508949329,111,,
2015,1,2,21,0,16.6,151,0,10.2,0,0,0,0,0,998.5,129.304565429688,7.20705796319956,118,,
2015,1,2,22,0,16.1,166,0,10.1,0,0,0,0,0,998.8,132.525177001953,6.69018027050943,122,,
