country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-33.609734,136.706349,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
2015,1,1,0,0,17.7,-171,30.7,13.3,0,0,0,0,0,995,60.8576342688785,5.873,122,,
2015,1,1,1,0,17.2,-155,10.3,13.5,0,0,0,0,0,994.6,42.9109205147336,4.853,119,,
2015,1,1,2,0,16.6,-142,8.1,13.6,0,0,0,0,0,994.2,66.1443210168187,4.078,112,,
2015,1,1,3,0,16.7,-131,37,13.9,0,0,0,0,0,994.2,122.603164944224,3.651,103,,
2015,1,1,4,0,17.2,-121,58.1,14.4,2,1,0,2,0,994.5,154.201612969898,3.399,93,,
2015,1,1,5,0,17.8,-113,38.5,14.9,75,33,8,83,0,994.8,176.593185646787,3.51,82,,
2015,1,1,6,0,20,-105,15.2,14.8,139,345,137,276,0,994.9,193.906908285544,3.172,70,,
2015,1,1,7,0,23.4,-98,8.2,14.3,178,598,319,497,0,994.9,195.382974336517,3.012,58,,
2015,1,1,8,0,26.9,-90,2.7,13.8,141,836,590,731,0,994.9,188.269910666002,3.706,46,,
2015,1,1,9,0,29.4,-81,0,12.5,118,964,800,919,0,994.6,189.137089844299,5.911,34,,
2015,1,1,10,0,31.3,-64,1.6,10.6,160,934,862,1022,0,994.1,198.652166640225,8.777,22,,
2015,1,1,11,0,33,-24,7.8,8.7,297,739,716,1013,0,993.6,198.779836839586,10.656,13,,
2015,1,1,12,0,34.1,33,5.5,7.6,249,812,785,1034,0,993,201.85449181616,11.455,14,,
2015,1,1,13,0,34.6,67,2.2,7.2,177,902,824,1000,0,992.3,213.461967912359,11.774,23,,
2015,1,1,14,0,35,82,0.8,6.9,135,929,752,887,0,991.7,225.186076348151,12.122,35,,
2015,1,1,15,0,34.9,92,0,7.3,98,928,621,719,0,991.3,238.332040146514,12.319,48,,
2015,1,1,16,0,34.2,99,0,8.4,82,855,427,509,0,991.2,241.919653888939,12.262,60,,
2015,1,1,17,0,33.5,106,0,9.6,64,692,220,284,0,991.1,255.108257783915,12.257,72,,
2015,1,1,18,0,31.9,114,0,9.4,28,264,56,84,0,991.3,262.458687075165,12.502,84,,
2015,1,1,19,0,29.7,122,0,8.2,5,22,2,7,0,991.8,271.596595529545,12.951,95,,
2015,1,1,20,0,27.3,132,0,6.8,0,0,0,0,0,992.2,269.688585015738,12.642,105,,
2015,1,1,21,0,26.1,144,0,6.5,0,0,0,0,0,992.4,269.594702780724,11.17,113,,
2015,1,1,22,0,25.7,158,0,7,0,0,0,0,0,992.2,272.428036216789,11.98,119,,
2015,1,1,23,0,25.4,173,0,7.5,0,0,0,0,0,992,275.163967081,13.964,123,,
2015,1,2,0,0,25.2,-171,0,7.5,0,0,0,0,0,991.8,278.810144775811,13.111,122,,
2015,1,2,1,0,25,-155,0,7.1,0,0,0,0,0,991.5,285.14300097079,12.029,119,,
2015,1,2,2,0,24.8,-142,0,6.6,0,0,0,0,0,991.3,288.001797014239,11.046,112,,
2015,1,2,3,0,24.8,-131,0,6.2,0,0,0,0,0,991.4,284.896563196974,10.016,104,,
2015,1,2,4,0,25,-121,0,5.8,1,9,2,3,0,991.8,296.195960486768,8.965,93,,
2015,1,2,5,0,25.2,-113,0,5.5,31,417,85,116,0,992.2,308.876875766239,8.028,82,,
2015,1,2,6,0,27.3,-105,0,5.3,59,778,267,326,0,992.5,311.89891129499,7.251,71,,
2015,1,2,7,0,30.8,-98,0,5.3,72,918,483,555,0,992.7,316.619286511598,6.832,58,,
2015,1,2,8,0,34.4,-90,0,5.2,83,986,683,766,0,992.9,316.504690251933,7.068,46,,
2015,1,2,9,0,36.4,-81,0.9,4.9,114,985,815,929,0,992.7,50.3950414844449,8.033,34,,
2015,1,2,10,0,37.2,-64,0.5,4.3,114,1016,940,1054,0,992.2,90.011627837788,8.868,22,,
2015,1,2,11,0,37.8,-24,0,3.7,108,1042,1013,1121,0,991.7,112.852754129156,8.699,13,,
2015,1,2,12,0,38.4,32,0,3.4,110,1037,1004,1115,0,991.2,145.260240719956,8.278,14,,
2015,1,2,13,0,38.9,67,0,3.3,110,1021,933,1043,0,990.6,176.135388592355,7.817,23,,
2015,1,2,14,0,39.3,82,0,3.3,106,990,804,911,0,990.1,246.091140437466,7.095,35,,
2015,1,2,15,0,38.9,92,0,5.7,98,942,632,730,0,989.8,281.435116159091,6.85,48,,
2015,1,2,16,0,37.8,99,0,10.1,86,855,429,515,0,989.7,287.612135659007,6.345,60,,
2015,1,2,17,0,36.7,106,0,14.5,68,682,218,286,0,989.6,265.871914757445,6.022,72,,
2015,1,2,18,0,34.5,114,0,14.8,30,250,54,84,0,989.6,258.106178714907,6.073,84,,
2015,1,2,19,0,31.5,122,0,12.1,5,18,2,6,0,989.8,313.7721803828,6.569,95,,
2015,1,2,20,0,28.4,132,0,8.9,0,0,0,0,0,990,303.418223855214,6.502,105,,
2015,1,2,21,0,26.2,144,0,8.4,0,0,0,0,0,990,290.443601322836,5.228,113,,
2015,1,2,22,0,24.7,157,0,9.9,0,0,0,0,0,989.7,289.986435034312,8.164,119,,
2015,1,2,23,0,23.4,173,0,11.7,0,0,0,0,0,989.5,288.479024566073,10.517,123,,
2015,1,3,0,0,23.2,-171,0,11.1,0,0,0,0,0,989.2,296.973882528324,10.697,122,,
2015,1,3,1,0,24.1,-155,0,8.7,0,0,0,0,0,988.8,33.0123271811932,9.709,119,,
2015,1,3,2,0,25,-142,0,6.2,0,0,0,0,0,988.4,45.5793064619997,8.875,112,,
2015,1,3,3,0,25.8,-131,0,4.9,0,0,0,0,0,988.5,72.1558388748518,10.3,104,,
2015,1,3,4,0,26.5,-121,0.3,4.5,1,0,0,1,0,989,82.5400341885477,12.533,94,,
2015,1,3,5,0,27.2,-113,14.8,4.3,73,30,8,80,0,989.6,90.0874963266709,15.271,82,,
2015,1,3,6,0,28.4,-105,8.3,5.2,105,459,181,287,0,990.2,95.0641070217096,15.477,71,,
2015,1,3,7,0,30.2,-98,0.1,7,121,753,395,516,0,991,102.464742957175,14.114,59,,
2015,1,3,8,0,31.9,-90,3.1,8.9,189,737,505,694,0,991.8,113.910644663595,13.633,46,,
2015,1,3,9,0,32.3,-81,7.3,10.1,273,669,552,824,0,992.3,110.39640350391,11.977,34,,
2015,1,3,10,0,31.7,-64,3.2,10.8,204,836,778,982,0,992.7,92.9319535147273,10.121,22,,
2015,1,3,11,0,30.9,-24,1.7,11.5,194,883,857,1051,0,993,85.7881598731858,9.785,13,,
2015,1,3,12,0,29.9,32,3.5,12.2,243,807,782,1024,0,993.4,88.7257443958092,10.675,14,,
2015,1,3,13,0,28.8,66,5.6,13,277,716,658,934,0,993.9,93.6874587780632,11.364,23,,
2015,1,3,14,0,27.7,82,29.3,13.8,402,245,218,620,0,994.3,106.638254350935,11.383,35,,
2015,1,3,15,0,26.6,91,65.4,14.4,252,0,0,252,0,994.7,109.172833159207,10.985,48,,
2015,1,3,16,0,25.7,99,75.4,14.8,115,0,0,115,0,995.1,109.201082376225,10.932,60,,
