#Name,Lat,Long,Area
KF249,-40.7,144.73,66.01
KF250,-40.69,144.87,54.21
KF251,-40.68,145.01,39.13
KG249,-40.81,144.75,86.93
KG250,-40.8,144.88,102.68
KG251,-40.79,145.02,70.54
KG252,-40.77,145.16,16.33
KG253,-40.76,145.3,16.71
KH248,-40.93,144.62,15.49
KH249,-40.92,144.76,101.96
KH250,-40.91,144.9,89.54
KH251,-40.9,145.04,103.63
KH252,-40.88,145.18,91.78
KH253,-40.87,145.32,73.08
KH254,-40.86,145.45,25.95
KI248,-41.04,144.63,15.06
KI249,-41.03,144.77,105.95
KI250,-41.02,144.91,99.49
KI251,-41,145.05,109.96
KI252,-40.99,145.19,105.46
KI253,-40.98,145.33,97.47
KI254,-40.97,145.47,22.78
KI255,-40.96,145.61,41.48
KI256,-40.95,145.75,12.72
KJ248,-41.15,144.65,1.04
KJ249,-41.14,144.79,43.07
KJ250,-41.13,144.93,83.2
KJ251,-41.11,145.07,62.84
KJ252,-41.1,145.21,107.91
KJ253,-41.09,145.34,73.38
KJ254,-41.08,145.48,31.2
KJ255,-41.07,145.62,62.76
KJ256,-41.06,145.76,65.43
KJ257,-41.04,145.9,17.95
KK248,-41.26,144.66,5.22
KK249,-41.25,144.8,4.88
KK250,-41.24,144.94,4.32
KK251,-41.22,145.08,31.18
KK252,-41.21,145.22,27.36
KK253,-41.2,145.36,3.04
KK254,-41.19,145.5,24.38
KK255,-41.18,145.64,79.22
KK256,-41.17,145.78,75.98
KK257,-41.15,145.92,61.09
KK258,-41.14,146.05,41.3
KK259,-41.13,146.19,5.31
KL254,-41.3,145.51,39.96
KL255,-41.29,145.65,61.38
KL256,-41.28,145.79,75.3
KL257,-41.26,145.93,75.75
KL258,-41.25,146.07,53.58
KL259,-41.24,146.21,75.04
User,-40.85,145.38,
storage,0,0,
