Hub,PV_capex,Wind_capex,El_capex,UG_capex,PV_FOM,Wind_FOM,EL_FOM,Stg_ratio,Trans_capex,Pipe_capex,Bat_ratio,Stg,data_year,load,CF,cost_year
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Pipeline,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,2.115,90,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,2.115,110,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,0.2115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,0.705,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,7.0501,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1,1,Lined Rock,2018,21.1506,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,0.5,1,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1.5,1,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,0.5,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1,1.5,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,0.5,1.5,1,Lined Rock,2018,2.115,100,2023
Tas,1068.2,2126.6,1343.3,1,12.68,18.65,37.36,1,1.5,0.5,1,Lined Rock,2018,2.115,100,2023
Tas,793.8,1473.5,385,1,11.9,17.5,13.5,0.665057114,0.713473271,0.665057114,0.665057114,Lined Rock,2018,2.115,100,2030
Tas,632.1,1448.3,370.3,1,11.9,17.5,11.9,0.371364419,0.42123866,0.371364419,0.371364419,Lined Rock,2018,2.115,100,2040
Tas,518.7,1417.5,295,1,11.9,17.5,10.3,0.207367952,0.235217468,0.207367952,0.207367952,Lined Rock,2018,2.115,100,2050
