Lat,Long,#Name
-32.22,116.07,HI34
-32.24,116.19,HI35
-32.33,116.05,HJ34
-32.34,116.18,HJ35
-32.43,116.03,HK34
-32.45,116.16,HK35
-32.50,116.67,HK39
-32.51,116.80,HK40
-32.53,116.93,HK41
-32.54,117.06,HK42
-32.55,117.18,HK43
-32.56,117.31,HK44
-32.58,117.44,HK45
-32.59,117.57,HK46
-32.60,117.70,HK47
-32.54,116.02,HL34
-32.55,116.15,HL35
-32.61,116.66,HL39
-32.62,116.78,HL40
-32.63,116.91,HL41
-32.65,117.04,HL42
-32.66,117.17,HL43
-32.67,117.30,HL44
-32.68,117.42,HL45
-32.69,117.55,HL46
-32.71,117.68,HL47
-32.65,116.00,HM34
-32.66,116.13,HM35
-32.71,116.64,HM39
-32.73,116.77,HM40
-32.74,116.90,HM41
-32.75,117.03,HM42
-32.76,117.15,HM43
-32.78,117.28,HM44
-32.79,117.41,HM45
-32.80,117.54,HM46
-32.81,117.67,HM47
-32.75,115.99,HN34
-32.77,116.11,HN35
-32.82,116.63,HN39
-32.83,116.75,HN40
-32.85,116.88,HN41
-32.86,117.01,HN42
-32.87,117.14,HN43
-32.88,117.27,HN44
-32.90,117.40,HN45
-32.91,117.52,HN46
-32.92,117.65,HN47
-32.86,115.97,HO34
-32.87,116.10,HO35
-32.93,116.61,HO39
-32.94,116.74,HO40
-32.95,116.87,HO41
-32.96,117.00,HO42
-32.98,117.12,HO43
-32.99,117.25,HO44
-33.00,117.38,HO45
-33.01,117.51,HO46
-33.03,117.64,HO47
-32.97,115.95,HP34
-32.98,116.08,HP35
-33.03,116.59,HP39
-33.05,116.72,HP40
-33.06,116.85,HP41
-33.07,116.98,HP42
-33.08,117.11,HP43
-33.10,117.24,HP44
-33.11,117.37,HP45
-33.12,117.49,HP46
-33.13,117.62,HP47
-33.07,115.94,HQ34
-33.09,116.06,HQ35
-33.14,116.58,HQ39
-33.15,116.71,HQ40
-33.17,116.84,HQ41
-33.18,116.96,HQ42
-33.19,117.09,HQ43
-33.20,117.22,HQ44
-33.22,117.35,HQ45
-33.23,117.48,HQ46
-33.24,117.61,HQ47
-33.18,115.92,HR34
-33.19,116.05,HR35
-33.25,116.56,HR39
-33.26,116.69,HR40
-33.27,116.82,HR41
-33.29,116.95,HR42
-33.30,117.08,HR43
-33.31,117.21,HR44
-33.32,117.34,HR45
-33.33,117.47,HR46
-33.35,117.59,HR47
-33.29,115.90,HS34
-33.30,116.03,HS35
-33.35,116.55,HS39
-33.37,116.68,HS40
-33.38,116.81,HS41
-33.39,116.93,HS42
-33.40,117.06,HS43
-33.42,117.19,HS44
-33.43,117.32,HS45
-33.44,117.45,HS46
-33.45,117.58,HS47
-33.39,115.89,HT34
-33.41,116.02,HT35
-33.50,115.87,HU34
-33.51,116.00,HU35
-33.61,115.85,HV34
-33.62,115.98,HV35
-33.71,115.84,HW34
-33.73,115.97,HW35
storage,-28.48, 114.58,,FALSE,False
User,-32.65,116.13,,FALSE,True
