#Name,Lat,Long,Area,Within_buffer,Electrolyser
DN40,-21.76,118.2,143,FALSE,False
DN41,-21.77,118.32,81,FALSE,False
DN43,-21.8,118.55,62,FALSE,False
DN44,-21.81,118.67,144,FALSE,False
DN45,-21.82,118.78,144,FALSE,False
DN46,-21.83,118.9,141,FALSE,False
DN47,-21.84,119.02,144,FALSE,False
DN48,-21.85,119.13,144,FALSE,False
DN49,-21.86,119.25,144,FALSE,False
DN50,-21.87,119.37,144,FALSE,False
DN51,-21.88,119.48,144,FALSE,False
DN52,-21.89,119.6,144,FALSE,False
DO40,-21.87,118.19,144,FALSE,False
DO41,-21.88,118.31,95,FALSE,False
DO42,-21.89,118.42,87,FALSE,False
DO43,-21.9,118.54,89,FALSE,False
DO44,-21.92,118.65,142,FALSE,False
DO45,-21.93,118.77,137,FALSE,False
DO46,-21.94,118.89,144,FALSE,False
DO47,-21.95,119,88,FALSE,False
DO48,-21.96,119.12,142,FALSE,False
DO49,-21.97,119.24,144,FALSE,False
DO50,-21.98,119.35,144,FALSE,False
DO51,-21.99,119.47,144,FALSE,False
DO52,-22,119.59,144,FALSE,False
DP40,-21.98,118.18,144,FALSE,False
DP41,-21.99,118.29,144,FALSE,False
DP42,-22,118.41,144,FALSE,False
DP43,-22.01,118.53,144,FALSE,False
DP44,-22.02,118.64,140,FALSE,False
DP45,-22.03,118.76,71,FALSE,False
DP46,-22.04,118.88,70,FALSE,False
DP47,-22.06,118.99,90,FALSE,False
DP48,-22.07,119.11,142,FALSE,False
DP49,-22.08,119.23,141,FALSE,False
DP50,-22.09,119.34,144,FALSE,False
DP51,-22.1,119.46,144,FALSE,False
DP52,-22.11,119.58,144,FALSE,False
DQ40,-22.08,118.16,144,FALSE,False
DQ41,-22.1,118.28,144,FALSE,False
DQ42,-22.11,118.4,144,FALSE,False
DQ43,-22.12,118.51,141,FALSE,False
DQ44,-22.13,118.63,144,FALSE,False
DQ45,-22.14,118.75,144,FALSE,False
DQ46,-22.15,118.86,144,FALSE,False
DQ47,-22.16,118.98,143,FALSE,False
DQ48,-22.17,119.1,144,FALSE,False
DQ49,-22.18,119.21,144,FALSE,False
DQ50,-22.19,119.33,143,FALSE,False
DQ51,-22.21,119.45,144,FALSE,False
DQ52,-22.22,119.56,144,FALSE,False
DR40,-22.19,118.15,115,FALSE,False
DR41,-22.2,118.27,101,FALSE,False
DR42,-22.21,118.38,111,FALSE,False
DR43,-22.22,118.5,144,FALSE,False
DR44,-22.24,118.62,144,FALSE,False
DR45,-22.25,118.73,144,FALSE,False
DR46,-22.26,118.85,144,FALSE,False
DR47,-22.27,118.97,143,FALSE,False
DR48,-22.28,119.09,144,FALSE,False
DR49,-22.29,119.2,144,FALSE,False
DR50,-22.3,119.32,137,FALSE,False
DR51,-22.31,119.44,144,FALSE,False
DR52,-22.32,119.55,144,FALSE,False
DS43,-22.33,118.49,31,FALSE,False
DS44,-22.34,118.61,72,FALSE,False
DS45,-22.35,118.72,98,FALSE,False
DS46,-22.37,118.84,144,FALSE,False
DS47,-22.38,118.96,143,FALSE,False
DS48,-22.39,119.07,144,FALSE,False
DS49,-22.4,119.19,144,FALSE,False
DS50,-22.41,119.31,144,FALSE,False
DS51,-22.42,119.42,144,FALSE,False
DS52,-22.43,119.54,144,FALSE,False
DT47,-22.48,118.94,48,FALSE,False
DT48,-22.49,119.06,131,FALSE,False
DT49,-22.5,119.18,133,FALSE,False
DT50,-22.52,119.3,144,FALSE,False
DT51,-22.53,119.41,144,FALSE,False
DT52,-22.54,119.53,144,FALSE,False
DU46,-22.58,118.82,119,FALSE,False
DU47,-22.59,118.93,70,FALSE,False
DU50,-22.62,119.28,134,FALSE,False
DU51,-22.63,119.4,144,FALSE,False
DU52,-22.64,119.52,144,FALSE,TRUE
DV44,-22.66,118.57,95,FALSE,False
DV45,-22.67,118.69,138,FALSE,False
DV46,-22.69,118.8,144,FALSE,False
DV47,-22.7,118.92,144,FALSE,False
DV48,-22.71,119.04,90,FALSE,False
DV49,-22.72,119.15,89,FALSE,False
DV50,-22.73,119.27,131,FALSE,False
DV51,-22.74,119.39,144,FALSE,False
DV52,-22.75,119.51,144,FALSE,False
DW44,-22.77,118.56,45,FALSE,False
DW45,-22.78,118.67,144,FALSE,False
DW46,-22.79,118.79,144,FALSE,False
DW47,-22.8,118.91,142,FALSE,False
DW50,-22.84,119.26,123,FALSE,False
DW51,-22.85,119.38,133,FALSE,False
DW52,-22.86,119.5,144,FALSE,False
DN53,-21.91,119.71,91,FALSE,False
DN54,-21.92,119.83,85,FALSE,False
DN55,-21.93,119.95,115,FALSE,False
DO53,-22.01,119.7,144,FALSE,False
DO54,-22.02,119.82,144,FALSE,False
DO55,-22.03,119.94,144,FALSE,False
