cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],pv_capacity_KF250[kW],pv_capacity_KF249[kW],pv_capacity_KG249[kW],pv_capacity_KG250[kW],pv_capacity_KF251[kW],pv_capacity_KL258[kW],pv_capacity_KH252[kW],pv_capacity_KL259[kW],pv_capacity_KI249[kW],pv_capacity_KK258[kW],pv_capacity_KI255[kW],pv_capacity_KK257[kW],pv_capacity_KJ256[kW],pv_capacity_KJ255[kW],pv_capacity_KH249[kW],pv_capacity_KH253[kW],pv_capacity_KG251[kW],wind_capacity_KF250[kW],wind_capacity_KF249[kW],wind_capacity_KG249[kW],wind_capacity_KG250[kW],wind_capacity_KF251[kW],wind_capacity_KL258[kW],wind_capacity_KH252[kW],wind_capacity_KL259[kW],wind_capacity_KI249[kW],wind_capacity_KK258[kW],wind_capacity_KI255[kW],wind_capacity_KK257[kW],wind_capacity_KJ256[kW],wind_capacity_KJ255[kW],wind_capacity_KH249[kW],wind_capacity_KH253[kW],wind_capacity_KG251[kW]
100,KF250,1883158497.233207,2.798243791910525,0.0,13601388.2845773,23706224.42649485,2018133.485693085,66698640.00000054,0.0,729296.9589585683,633856.2680880977,1959352.89873115,0.0,0.0,0.0,0.0,1061127075.2847168,676324638.0500002,89920249.95400931,0.0,0.0,2.115,31807344.34531973,23494896.80571452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,161720.0,129480.0,0.0,0.0,0.0,0.0,29896.95895856828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KF249,1890825965.654577,2.805359900648551,0.0,13574333.0314324,23659296.33393535,1966950.714715892,66698640.00000054,0.0,727846.2751438282,632601.5062549559,1909660.888073682,0.0,0.0,0.0,0.0,1059016330.3342701,674985807.1740379,87639742.94481744,0.0,0.0,2.115,39389748.14178964,29322326.62875915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,161720.0,0.0,0.0,0.0,0.0,0.0,98800.0,0.0,0.0,0.0,0.0,0.0,59126.27514382822,0.0,0.0
100,KG249,1885172477.410987,2.798729273221249,0.0,13574333.03143239,23659296.33393535,1966950.714715882,66698640.00000054,0.0,727846.2751438281,632601.5062549558,1909660.888073671,0.0,0.0,0.0,0.0,1059016330.3342699,674985807.1740378,87639742.94481693,0.0,0.0,2.115,35749751.11116201,27748057.42005466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,161720.0,0.0,0.0,0.0,0.0,0.0,98800.0,0.0,0.0,0.0,0.0,0.0,59126.27514382815,0.0,0.0
100,KG250,1885343341.020813,2.80080626034033,0.0,13601388.2845773,23706224.42649486,2018133.485693068,66698640.00000054,0.0,729296.9589585686,633856.2680880978,1959352.898731134,0.0,0.0,0.0,0.0,1061127075.2847173,676324638.0500003,89920249.95400858,0.0,0.0,2.115,35399455.23034444,22087629.70829649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,161720.0,129480.0,0.0,0.0,0.0,0.0,29896.95895856863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KF251,1904760054.263899,2.824553500967646,0.0,13621667.06054971,23741398.5300499,2027683.504284985,66698640.00000054,0.0,730384.2927908694,634796.7521403717,1968624.761441733,0.0,0.0,0.0,0.0,1062709146.0107149,677328134.5337766,90345761.9753582,0.0,0.0,2.115,56070917.48478056,17898254.73216297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,161720.0,40864.29279086946,119600.0,0.0,0.0,0.0,-1.473430520670922e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KL258,2213754413.250361,3.189124454397676,0.0,13780229.33091133,24016429.21854954,1738862.67309404,66698640.00000054,0.0,738886.2912016799,642150.513864961,1688216.187469941,0.0,0.0,0.0,0.0,1075079553.6984441,685174598.2939134,77477018.89333385,0.0,0.0,2.115,342253550.4501389,35057514.26734645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,0.0,0.0,114017.8205957025,0.0,0.0,0.0,48188.47060597731,0.0,0.0,0.0,85800.0,82680.0,0.0,0.0,0.0
100,KH252,1951559846.010026,2.880435828964582,0.0,13672378.58108012,23829359.07939454,1955292.590522109,66698640.00000054,0.0,733103.4091731969,637148.638486485,1898342.320895252,0.0,0.0,0.0,0.0,1066665460.3470014,679837597.2650795,87120301.86278225,0.0,0.0,2.115,108141098.8647006,8889556.113331687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,115863.4091731969,0.0,0.0,0.0,110240.0,0.0,98800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,KL259,2222287328.913141,3.199606065083279,0.0,13791180.09990848,24035423.63336221,1740524.677942039,66698640.00000054,0.0,739473.4638020633,642658.3859187757,1689829.784409747,0.0,0.0,0.0,0.0,1075933889.832002,685716497.7753336,77551071.4237618,0.0,0.0,2.115,378328372.7158173,6046550.41957627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,0.0,0.0,119600.0,0.0,0.0,0.0,37197.37736452906,0.0,5996.086437534248,0.0,85800.0,82680.0,0.0,0.0,0.0
100,KI249,1923544438.635298,2.843986710591042,0.0,13580677.10166814,23670300.30102567,1966499.601893665,66698640.00000054,0.0,728186.4397677286,632895.7299739483,1909222.914459869,0.0,0.0,0.0,0.0,1059511269.862045,675299743.8822029,87619643.09611084,0.0,0.0,2.115,73163014.58008152,27956170.76640555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209746.4397677286,179920.0,161720.0,0.0,0.0,0.0,0.0,0.0,98800.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0
100,KK258,2165376031.788347,3.132858317253996,0.0,13791180.0999085,24035423.63336224,1740524.677942055,66698640.00000054,0.0,739473.4638020643,642658.3859187766,1689829.784409762,0.0,0.0,0.0,0.0,1075933889.8320036,685716497.7753346,77551071.42376249,0.0,0.0,2.115,322649989.5810418,4813636.429554792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228280.0,179920.0,0.0,0.0,119600.0,0.0,0.0,0.0,37197.37736452094,0.0,5996.086437543335,0.0,85800.0,82680.0,0.0,0.0,0.0
