cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD]
100,KF249,1816775977.352011,2.707755546777494,0.0,13330321.24168686,23236051.06642819,1916817.679257283,66698640.00000054,0.0,714762.5330663194,621284.7878724114,1860988.038113866,0.0,0.0,0.0,0.0,1039979485.6114948,662910868.659863,77581114.06518604,0.0,0.0,2.115,-0.0,29322326.62875915
100,KF250,1850655303.872596,2.760945663915233,0.0,13623285.49908829,23744205.75691758,2013138.676946955,66698640.00000054,0.0,730471.0723371739,634871.8116822883,1954503.569851413,0.0,0.0,0.0,0.0,1062835410.2505879,677408223.0650016,81479601.85017483,0.0,0.0,2.115,-0.0,23494896.80571452
100,KF251,1892755637.181003,2.825912449644509,0.0,13961808.92324742,24331384.09516544,2127262.257494544,66698640.00000054,0.0,748622.4623725159,650571.7672504128,2065303.162616062,0.0,0.0,0.0,0.0,1089245682.7520106,694160075.6561905,86098629.84423034,0.0,0.0,2.115,-0.0,17898254.73216297
100,KG249,1861227560.740563,2.774902873057484,0.0,13638127.75786169,23769950.06948342,2076446.014713156,66698640.00000054,0.0,731266.9039067931,635560.162285653,2015967.00457588,0.0,0.0,0.0,0.0,1063993345.184384,678142693.1587917,84041897.59981857,0.0,0.0,2.115,-0.0,27748057.42005466
100,KG250,1893474766.931752,2.824838475770308,0.0,13901616.44162641,24226978.55389149,2163972.523214881,66698640.00000054,0.0,745394.9834652229,647780.1752377405,2100944.197296001,0.0,0.0,0.0,0.0,1084549700.9418993,691181446.9786692,87584437.98500058,0.0,0.0,2.115,-0.0,22087629.70829649
100,KG251,1932298633.761038,2.884495601337456,0.0,14210101.49907045,24762054.50573801,2262396.965196918,66698640.00000054,0.0,761935.7372155736,662087.0188700003,2196501.907958173,0.0,0.0,0.0,0.0,1108616497.6486595,706446849.1342903,91568060.39355923,0.0,0.0,2.115,-0.0,16042444.07845567
100,KG252,2002057973.779553,2.990058829324072,0.0,14629942.91803002,25490281.17816003,2698208.380230077,66698640.00000054,0.0,784447.341449331,681558.3202716585,2619619.786631143,0.0,0.0,0.0,0.0,1141370881.8087766,727222727.7298596,109207054.16249111,0.0,0.0,2.115,-0.0,10289841.8735204
100,KG253,2020575915.551284,3.019951881050139,0.0,14763722.22138054,25722325.11789162,2877613.219877752,66698640.00000054,0.0,791620.4944439968,687762.7036869418,2793799.242599759,0.0,0.0,0.0,0.0,1151807819.4160154,733842804.8339669,116468270.22866683,0.0,0.0,2.115,-0.0,5293006.444673038
100,KH248,1844283233.578741,2.748434794298145,0.0,13475373.34999806,23487648.00134955,2081616.740234293,66698640.00000054,0.0,722540.1260052582,628011.9786457099,2020987.126441061,0.0,0.0,0.0,0.0,1051295883.3376507,670088781.2149725,84251177.10031362,0.0,0.0,2.115,-0.0,33591147.90868773
100,KH249,1891266611.402215,2.819957908326804,0.0,13873762.96952188,24178665.92824263,2087348.170436226,66698640.00000054,0.0,743901.4997062669,646488.393803279,2026551.621782743,0.0,0.0,0.0,0.0,1082376682.0726182,689803116.1880987,84483150.51388578,0.0,0.0,2.115,-0.0,27425883.28826457
100,KH250,1895444066.656335,2.82786780821313,0.0,13957814.84172816,24324456.24916739,2058296.92725086,66698640.00000054,0.0,748408.3025055312,650386.5307264009,1998346.531311515,0.0,0.0,0.0,0.0,1088934080.1455479,693962428.2850697,83307332.99316438,0.0,0.0,2.115,-0.0,21263088.67540756
100,KH251,1949922031.473089,2.908898666938089,0.0,14362352.40766452,25026137.96089936,2095093.322071145,66698640.00000054,0.0,770099.3248077489,669148.0738208386,2034071.18647684,0.0,0.0,0.0,0.0,1120494517.5952747,713980994.7668347,84796627.11572602,0.0,0.0,2.115,-0.0,15105787.48207676
100,KH252,1958641710.528528,2.924785099246074,0.0,14462393.44525634,25199661.93595564,2199019.862446344,66698640.00000054,0.0,775463.4555097233,673787.7522982793,2134970.740239169,0.0,1.552204291025797e-10,2.45765679412418e-11,0.0,1128299327.7666473,718931531.7022641,89002940.9819319,0.0,4.817007316483393e-09,2.115,-0.0,8889556.113331687
100,KH253,1960340540.523779,2.930373129745275,0.0,14512860.40665571,25287198.29065402,2300836.68559483,66698640.00000054,0.0,778169.4588019146,676128.2965415514,2233822.02484935,0.0,0.0,0.0,0.0,1132236562.5567858,721428892.4098353,93123866.33436203,0.0,0.0,2.115,-0.0,2780023.181414382
100,KH254,1960297908.189081,2.932276662481789,0.0,14585133.01066603,25412557.1417558,2233503.26283684,66698640.00000054,0.0,782044.6654512617,679480.1374801015,2168449.769744504,0.0,0.0,0.0,0.0,1137874988.2315857,725005306.6912683,90398619.16666518,0.0,0.0,2.115,-0.0,466224.060950031
100,KI248,1870353492.256718,2.788175566856728,0.0,13625848.79161365,23748651.8594265,2281402.143425417,66698640.00000054,0.0,730608.5142956382,634990.6914285161,2214953.53730623,0.0,0.0,0.0,0.0,1063035388.3001536,677535067.7542267,92337274.34433292,0.0,0.0,2.115,-0.0,34008445.24921635
100,KI249,1860030863.730524,2.773788533075074,0.0,13640635.18769339,23774299.27658927,2088878.096241142,66698640.00000054,0.0,731401.3505465626,635676.4512457025,2028036.986641885,0.0,0.0,0.0,0.0,1064188965.0452485,678266773.4791645,84545072.59946904,0.0,0.0,2.115,-0.0,27956170.76640555
100,KI250,1892254546.935095,2.823778466055896,0.0,13957840.33218308,24324500.46307371,2034979.322973424,66698640.00000054,0.0,748409.6692859561,650387.7129164094,1975708.080556722,0.0,0.0,0.0,0.0,1088936068.8110662,693963689.6818088,82363578.28099184,0.0,0.0,2.115,-0.0,21969220.03919595
100,KI251,1947667015.080406,2.907583645273699,0.0,14320348.68746731,24953281.3345466,2298646.043950156,66698640.00000054,0.0,767847.1146095075,667200.0356830641,2231695.188301123,0.0,0.0,0.0,0.0,1117217551.7568333,711902438.0738294,93035202.4926464,0.0,0.0,2.115,-0.0,15933680.49165778
100,KI252,1899560769.177213,2.836292415784718,0.0,13929685.92229659,24275665.8524332,2375089.982910765,66698640.00000054,0.0,746900.0494529001,649081.9746639894,2305912.604767733,0.0,0.0,0.0,0.0,1086739571.9539697,692570466.9664767,96129187.91038993,0.0,0.0,2.115,-0.0,10373994.63958432
100,KI253,1888679417.095183,2.821332465271569,0.0,13770982.81200335,24000390.87313681,2662472.181895608,66698640.00000054,0.0,738390.4993031288,641721.6810999148,2584924.448442338,0.0,0.0,0.0,0.0,1074358176.4860525,684717033.7336091,107760670.34140864,0.0,0.0,2.115,-0.0,6122365.973430523
100,KI254,1937490717.735131,2.896061627219187,0.0,14056381.46986794,24495422.81983106,3048027.186846884,66698640.00000054,0.0,753693.3764004256,654957.8294072477,2959249.695967848,0.0,0.0,0.0,0.0,1096623862.662619,698840003.9775333,123365590.48650993,0.0,0.0,2.115,-0.0,989010.5851503898
100,KI255,2016374750.90319,3.018937658651796,0.0,14771392.07833448,25735628.69908988,3117635.850188375,66698640.00000054,0.0,792031.7468275862,688118.414414168,3026830.922512986,0.0,0.0,0.0,0.0,1152406191.6341379,734222348.1799172,126182925.54610409,0.0,0.0,2.115,-0.0,1680994.757610659
100,KI256,2159377273.032621,3.232799784011592,0.0,15899752.21703193,27692800.88837404,3109798.428951365,66698640.00000054,0.0,852533.6309400501,740449.2216142792,3019221.775680937,0.0,0.0,0.0,0.0,1240436433.017773,790059319.462436,125865714.43231624,0.0,0.0,2.115,-0.0,2527089.240165088
