Variable,Value
bat_e_0,0.0
bat_e_1,0.0
bat_e_10,0.0
bat_e_100,0.0
bat_e_1000,0.0
bat_e_1001,0.0
bat_e_1002,0.0
bat_e_1003,0.0
bat_e_1004,0.0
bat_e_1005,0.0
bat_e_1006,0.0
bat_e_1007,-8.3132719e-11
bat_e_1008,0.0
bat_e_1009,0.0
bat_e_101,0.0
bat_e_1010,0.0
bat_e_1011,0.0
bat_e_1012,0.0
bat_e_1013,0.0
bat_e_1014,0.0
bat_e_1015,0.0
bat_e_1016,0.0
bat_e_1017,0.0
bat_e_1018,0.0
bat_e_1019,0.0
bat_e_102,0.0
bat_e_1020,0.0
bat_e_1021,0.0
bat_e_1022,0.0
bat_e_1023,0.0
bat_e_1024,0.0
bat_e_1025,0.0
bat_e_1026,0.0
bat_e_1027,0.0
bat_e_1028,0.0
bat_e_1029,0.0
bat_e_103,0.0
bat_e_1030,0.0
bat_e_1031,0.0
bat_e_1032,0.0
bat_e_1033,0.0
bat_e_1034,0.0
bat_e_1035,0.0
bat_e_1036,0.0
bat_e_1037,0.0
bat_e_1038,0.0
bat_e_1039,0.0
bat_e_104,0.0
bat_e_1040,0.0
bat_e_1041,0.0
bat_e_1042,0.0
bat_e_1043,0.0
bat_e_1044,0.0
bat_e_1045,0.0
bat_e_1046,0.0
bat_e_1047,0.0
bat_e_1048,0.0
bat_e_1049,0.0
bat_e_105,0.0
bat_e_1050,0.0
bat_e_1051,0.0
bat_e_1052,0.0
bat_e_1053,0.0
bat_e_1054,0.0
bat_e_1055,0.0
bat_e_1056,0.0
bat_e_1057,0.0
bat_e_1058,0.0
bat_e_1059,0.0
bat_e_106,0.0
bat_e_1060,0.0
bat_e_1061,0.0
bat_e_1062,0.0
bat_e_1063,0.0
bat_e_1064,0.0
bat_e_1065,0.0
bat_e_1066,0.0
bat_e_1067,0.0
bat_e_1068,0.0
bat_e_1069,0.0
bat_e_107,0.0
bat_e_1070,0.0
bat_e_1071,0.0
bat_e_1072,0.0
bat_e_1073,0.0
bat_e_1074,0.0
bat_e_1075,0.0
bat_e_1076,0.0
bat_e_1077,0.0
bat_e_1078,0.0
bat_e_1079,0.0
bat_e_108,0.0
bat_e_1080,0.0
bat_e_1081,0.0
bat_e_1082,0.0
bat_e_1083,0.0
bat_e_1084,0.0
bat_e_1085,0.0
bat_e_1086,0.0
bat_e_1087,0.0
bat_e_1088,0.0
bat_e_1089,0.0
bat_e_109,0.0
bat_e_1090,0.0
bat_e_1091,0.0
bat_e_1092,0.0
bat_e_1093,0.0
bat_e_1094,0.0
bat_e_1095,0.0
bat_e_1096,0.0
bat_e_1097,0.0
bat_e_1098,0.0
bat_e_1099,0.0
bat_e_11,0.0
bat_e_110,0.0
bat_e_1100,0.0
bat_e_1101,0.0
bat_e_1102,0.0
bat_e_1103,0.0
bat_e_1104,0.0
bat_e_1105,0.0
bat_e_1106,0.0
bat_e_1107,0.0
bat_e_1108,0.0
bat_e_1109,0.0
bat_e_111,0.0
bat_e_1110,0.0
bat_e_1111,0.0
bat_e_1112,0.0
bat_e_1113,0.0
bat_e_1114,0.0
bat_e_1115,0.0
bat_e_1116,0.0
bat_e_1117,0.0
bat_e_1118,0.0
bat_e_1119,0.0
bat_e_112,0.0
bat_e_1120,0.0
bat_e_1121,0.0
bat_e_1122,0.0
bat_e_1123,0.0
bat_e_1124,0.0
bat_e_1125,0.0
bat_e_1126,0.0
bat_e_1127,0.0
bat_e_1128,0.0
bat_e_1129,0.0
bat_e_113,0.0
bat_e_1130,0.0
bat_e_1131,0.0
bat_e_1132,0.0
bat_e_1133,0.0
bat_e_1134,0.0
bat_e_1135,0.0
bat_e_1136,0.0
bat_e_1137,0.0
bat_e_1138,0.0
bat_e_1139,0.0
bat_e_114,0.0
bat_e_1140,0.0
bat_e_1141,0.0
bat_e_1142,0.0
bat_e_1143,0.0
bat_e_1144,0.0
bat_e_1145,0.0
bat_e_1146,0.0
bat_e_1147,0.0
bat_e_1148,0.0
bat_e_1149,0.0
bat_e_115,0.0
bat_e_1150,0.0
bat_e_1151,0.0
bat_e_1152,0.0
bat_e_1153,0.0
bat_e_1154,0.0
bat_e_1155,0.0
bat_e_1156,0.0
bat_e_1157,0.0
bat_e_1158,0.0
bat_e_1159,0.0
bat_e_116,0.0
bat_e_1160,0.0
bat_e_1161,0.0
bat_e_1162,0.0
bat_e_1163,0.0
bat_e_1164,0.0
bat_e_1165,0.0
bat_e_1166,0.0
bat_e_1167,0.0
bat_e_1168,0.0
bat_e_1169,0.0
bat_e_117,0.0
bat_e_1170,0.0
bat_e_1171,0.0
bat_e_1172,0.0
bat_e_1173,0.0
bat_e_1174,0.0
bat_e_1175,0.0
bat_e_1176,0.0
bat_e_1177,0.0
bat_e_1178,0.0
bat_e_1179,9.803697e-11
bat_e_118,0.0
bat_e_1180,9.803697e-11
bat_e_1181,9.803697e-11
bat_e_1182,9.803697e-11
bat_e_1183,9.803697e-11
bat_e_1184,9.803697e-11
bat_e_1185,9.803697e-11
bat_e_1186,9.803697e-11
bat_e_1187,9.803697e-11
bat_e_1188,9.803697e-11
bat_e_1189,0.0
bat_e_119,0.0
bat_e_1190,0.0
bat_e_1191,0.0
bat_e_1192,0.0
bat_e_1193,0.0
bat_e_1194,0.0
bat_e_1195,0.0
bat_e_1196,0.0
bat_e_1197,0.0
bat_e_1198,0.0
bat_e_1199,0.0
bat_e_12,0.0
bat_e_120,0.0
bat_e_1200,0.0
bat_e_1201,0.0
bat_e_1202,0.0
bat_e_1203,0.0
bat_e_1204,0.0
bat_e_1205,0.0
bat_e_1206,0.0
bat_e_1207,0.0
bat_e_1208,0.0
bat_e_1209,0.0
bat_e_121,0.0
bat_e_1210,0.0
bat_e_1211,0.0
bat_e_1212,0.0
bat_e_1213,0.0
bat_e_1214,0.0
bat_e_1215,0.0
bat_e_1216,0.0
bat_e_1217,0.0
bat_e_1218,0.0
bat_e_1219,0.0
bat_e_122,0.0
bat_e_1220,0.0
bat_e_1221,0.0
bat_e_1222,0.0
bat_e_1223,0.0
bat_e_1224,0.0
bat_e_1225,0.0
bat_e_1226,0.0
bat_e_1227,0.0
bat_e_1228,0.0
bat_e_1229,0.0
bat_e_123,0.0
bat_e_1230,0.0
bat_e_1231,0.0
bat_e_1232,0.0
bat_e_1233,0.0
bat_e_1234,0.0
bat_e_1235,0.0
bat_e_1236,0.0
bat_e_1237,0.0
bat_e_1238,0.0
bat_e_1239,0.0
bat_e_124,0.0
bat_e_1240,0.0
bat_e_1241,0.0
bat_e_1242,0.0
bat_e_1243,0.0
bat_e_1244,0.0
bat_e_1245,0.0
bat_e_1246,0.0
bat_e_1247,0.0
bat_e_1248,0.0
bat_e_1249,0.0
bat_e_125,0.0
bat_e_1250,0.0
bat_e_1251,0.0
bat_e_1252,0.0
bat_e_1253,0.0
bat_e_1254,0.0
bat_e_1255,0.0
bat_e_1256,0.0
bat_e_1257,0.0
bat_e_1258,0.0
bat_e_1259,0.0
bat_e_126,0.0
bat_e_1260,0.0
bat_e_1261,0.0
bat_e_1262,0.0
bat_e_1263,0.0
bat_e_1264,0.0
bat_e_1265,0.0
bat_e_1266,0.0
bat_e_1267,0.0
bat_e_1268,0.0
bat_e_1269,0.0
bat_e_127,0.0
bat_e_1270,0.0
bat_e_1271,0.0
bat_e_1272,0.0
bat_e_1273,0.0
bat_e_1274,0.0
bat_e_1275,0.0
bat_e_1276,0.0
bat_e_1277,0.0
bat_e_1278,0.0
bat_e_1279,0.0
bat_e_128,0.0
bat_e_1280,0.0
bat_e_1281,0.0
bat_e_1282,0.0
bat_e_1283,0.0
bat_e_1284,0.0
bat_e_1285,0.0
bat_e_1286,0.0
bat_e_1287,0.0
bat_e_1288,0.0
bat_e_1289,0.0
bat_e_129,0.0
bat_e_1290,0.0
bat_e_1291,0.0
bat_e_1292,0.0
bat_e_1293,0.0
bat_e_1294,0.0
bat_e_1295,0.0
bat_e_1296,0.0
bat_e_1297,0.0
bat_e_1298,0.0
bat_e_1299,0.0
bat_e_13,0.0
bat_e_130,0.0
bat_e_1300,0.0
bat_e_1301,0.0
bat_e_1302,0.0
bat_e_1303,0.0
bat_e_1304,0.0
bat_e_1305,0.0
bat_e_1306,0.0
bat_e_1307,0.0
bat_e_1308,0.0
bat_e_1309,0.0
bat_e_131,0.0
bat_e_1310,0.0
bat_e_1311,0.0
bat_e_1312,0.0
bat_e_1313,0.0
bat_e_1314,0.0
bat_e_1315,0.0
bat_e_1316,0.0
bat_e_1317,0.0
bat_e_1318,0.0
bat_e_1319,9.5505122e-11
bat_e_132,0.0
bat_e_1320,9.5505122e-11
bat_e_1321,0.0
bat_e_1322,0.0
bat_e_1323,0.0
bat_e_1324,0.0
bat_e_1325,0.0
bat_e_1326,0.0
bat_e_1327,0.0
bat_e_1328,0.0
bat_e_1329,0.0
bat_e_133,0.0
bat_e_1330,0.0
bat_e_1331,0.0
bat_e_1332,0.0
bat_e_1333,0.0
bat_e_1334,0.0
bat_e_1335,0.0
bat_e_1336,0.0
bat_e_1337,0.0
bat_e_1338,0.0
bat_e_1339,0.0
bat_e_134,0.0
bat_e_1340,0.0
bat_e_1341,0.0
bat_e_1342,0.0
bat_e_1343,0.0
bat_e_1344,0.0
bat_e_1345,0.0
bat_e_1346,0.0
bat_e_1347,0.0
bat_e_1348,0.0
bat_e_1349,0.0
bat_e_135,0.0
bat_e_1350,0.0
bat_e_1351,0.0
bat_e_1352,0.0
bat_e_1353,0.0
bat_e_1354,0.0
bat_e_1355,0.0
bat_e_1356,0.0
bat_e_1357,0.0
bat_e_1358,0.0
bat_e_1359,0.0
bat_e_136,0.0
bat_e_1360,0.0
bat_e_1361,0.0
bat_e_1362,-2.9247203e-11
bat_e_1363,-2.9247203e-11
bat_e_1364,-2.9247203e-11
bat_e_1365,-2.9247203e-11
bat_e_1366,-2.9247203e-11
bat_e_1367,0.0
bat_e_1368,0.0
bat_e_1369,0.0
bat_e_137,0.0
bat_e_1370,0.0
bat_e_1371,0.0
bat_e_1372,0.0
bat_e_1373,0.0
bat_e_1374,0.0
bat_e_1375,0.0
bat_e_1376,0.0
bat_e_1377,0.0
bat_e_1378,0.0
bat_e_1379,0.0
bat_e_138,0.0
bat_e_1380,0.0
bat_e_1381,0.0
bat_e_1382,0.0
bat_e_1383,0.0
bat_e_1384,0.0
bat_e_1385,0.0
bat_e_1386,0.0
bat_e_1387,0.0
bat_e_1388,0.0
bat_e_1389,0.0
bat_e_139,0.0
bat_e_1390,0.0
bat_e_1391,0.0
bat_e_1392,0.0
bat_e_1393,0.0
bat_e_1394,0.0
bat_e_1395,0.0
bat_e_1396,0.0
bat_e_1397,0.0
bat_e_1398,0.0
bat_e_1399,0.0
bat_e_14,0.0
bat_e_140,0.0
bat_e_1400,0.0
bat_e_1401,0.0
bat_e_1402,0.0
bat_e_1403,0.0
bat_e_1404,0.0
bat_e_1405,0.0
bat_e_1406,0.0
bat_e_1407,0.0
bat_e_1408,0.0
bat_e_1409,0.0
bat_e_141,-2.0609208e-10
bat_e_1410,0.0
bat_e_1411,0.0
bat_e_1412,0.0
bat_e_1413,0.0
bat_e_1414,0.0
bat_e_1415,2.9431759e-11
bat_e_1416,0.0
bat_e_1417,0.0
bat_e_1418,0.0
bat_e_1419,0.0
bat_e_142,0.0
bat_e_1420,0.0
bat_e_1421,0.0
bat_e_1422,0.0
bat_e_1423,0.0
bat_e_1424,0.0
bat_e_1425,0.0
bat_e_1426,0.0
bat_e_1427,0.0
bat_e_1428,0.0
bat_e_1429,0.0
bat_e_143,0.0
bat_e_1430,0.0
